Timestamp_Unix,PID,Value,Unit,DTC_Codes
1771532080.405787,RELATIVE_THROTTLE_POS,6.2745098039215685,percent,
1771532080.405968,TIME_SINCE_DTC_CLEARED,93.0,minute,
1771532080.4060285,THROTTLE_POS_B,49.01960784313726,percent,
1771532080.406073,SHORT_FUEL_TRIM_1,3.125,percent,
1771532080.4061127,CONTROL_MODULE_VOLTAGE,14.707,volt,
1771532080.4061496,ELM_VOLTAGE,13.4,volt,
1771532080.4061873,ENGINE_LOAD,58.8235294117647,percent,
1771532080.4062254,CATALYST_TEMP_B1S1,679.6,degree_Celsius,
1771532080.4062622,MAF,7.78,gps,
1771532080.4062996,ABSOLUTE_LOAD,22.352941176470587,percent,
1771532080.4065459,INTAKE_PRESSURE,30,kilopascal,
1771532080.4065814,O2_S1_WR_VOLTAGE,3.373220416571298,volt,
1771532080.4066088,THROTTLE_POS,26.666666666666668,percent,
1771532080.4066348,SPEED,39.0,kilometer_per_hour,
1771532080.4066613,O2_S1_WR_CURRENT,0.00390625,milliampere,
1771532080.406699,TIMING_ADVANCE,7.0,degree,
1771532080.406723,COOLANT_TEMP,36,degree_Celsius,
1771532080.4067473,LONG_FUEL_TRIM_1,-3.125,percent,
1771532080.4068027,CATALYST_TEMP_B1S2,131.9,degree_Celsius,
1771532080.4068286,O2_B1S2,0.66,volt,
1771532080.4068553,COMMANDED_EQUIV_RATIO,0.992592,ratio,
1771532080.4068801,DISTANCE_SINCE_DTC_CLEAR,49.0,kilometer,
1771532080.4069045,RPM,0.0,revolutions_per_minute,
1771532080.4069288,RUN_TIME,38.0,second,
1771532080.4069536,INTAKE_TEMP,20,degree_Celsius,
1771532080.406976,THROTTLE_ACTUATOR,20.0,percent,
1771532081.4095106,RELATIVE_THROTTLE_POS,15.294117647058824,percent,
1771532081.4095783,TIME_SINCE_DTC_CLEARED,92.0,minute,
1771532081.4095995,THROTTLE_POS_B,67.84313725490196,percent,
1771532081.4096177,SHORT_FUEL_TRIM_1,-5.46875,percent,
1771532081.4096348,CONTROL_MODULE_VOLTAGE,14.746,volt,
1771532081.4096513,ELM_VOLTAGE,13.6,volt,
1771532081.4096675,ENGINE_LOAD,33.72549019607843,percent,
1771532081.409685,CATALYST_TEMP_B1S1,325.1,degree_Celsius,
1771532081.4097035,MAF,0.2,gps,
1771532081.4097204,ABSOLUTE_LOAD,73.33333333333333,percent,
1771532081.409738,INTAKE_PRESSURE,40,kilopascal,
1771532081.4097555,O2_S1_WR_VOLTAGE,3.295094224460212,volt,
1771532081.4097724,THROTTLE_POS,19.607843137254903,percent,
1771532081.409789,SPEED,0.0,kilometer_per_hour,
