Timestamp_Unix,PID,Value,Unit,DTC_Codes
1771532463.1414566,O2_B1S2,0.66,volt,
1771532463.142179,THROTTLE_POS_B,49.01960784313726,percent,
1771532463.1422331,MAF,7.78,gps,
1771532463.1422577,ABSOLUTE_LOAD,22.352941176470587,percent,
1771532463.1422818,RUN_TIME,26.0,second,
1771532463.1423032,ENGINE_LOAD,58.8235294117647,percent,
1771532463.1423244,O2_S1_WR_VOLTAGE,3.373220416571298,volt,
1771532463.1423445,SPEED,39.0,kilometer_per_hour,
1771532463.1423647,TIME_SINCE_DTC_CLEARED,93.0,minute,
1771532463.14242,RPM,4208.5,revolutions_per_minute,
1771532463.1424422,RELATIVE_THROTTLE_POS,6.2745098039215685,percent,
1771532463.145353,COMMANDED_EQUIV_RATIO,0.992592,ratio,
1771532463.1453893,TIMING_ADVANCE,7.0,degree,
1771532463.1454062,ELM_VOLTAGE,13.4,volt,
1771532463.1454222,O2_S1_WR_CURRENT,0.00390625,milliampere,
1771532463.1454375,CONTROL_MODULE_VOLTAGE,14.707,volt,
1771532463.1454515,COOLANT_TEMP,28,degree_Celsius,
1771532463.145466,LONG_FUEL_TRIM_1,-1.5625,percent,
1771532463.1454804,THROTTLE_POS,43.92156862745098,percent,
1771532463.1454945,INTAKE_PRESSURE,53,kilopascal,
1771532463.1455088,CATALYST_TEMP_B1S2,197.20000000000002,degree_Celsius,
1771532463.1455243,THROTTLE_ACTUATOR,20.0,percent,
1771532463.1455388,DISTANCE_SINCE_DTC_CLEAR,49.0,kilometer,
1771532463.1455524,INTAKE_TEMP,20,degree_Celsius,
1771532463.1455662,CATALYST_TEMP_B1S1,714.8000000000001,degree_Celsius,
1771532463.1455805,SHORT_FUEL_TRIM_1,-6.25,percent,
1771532464.1489317,O2_B1S2,0.74,volt,
1771532464.1489751,THROTTLE_POS_B,67.84313725490196,percent,
1771532464.1489923,MAF,0.2,gps,
1771532464.1490066,ABSOLUTE_LOAD,73.33333333333333,percent,
1771532464.1490211,RUN_TIME,161.0,second,
1771532464.1490352,ENGINE_LOAD,33.72549019607843,percent,
1771532464.1490495,O2_S1_WR_VOLTAGE,3.295094224460212,volt,
1771532464.1490638,SPEED,0.0,kilometer_per_hour,
1771532464.1490767,TIME_SINCE_DTC_CLEARED,92.0,minute,
1771532464.1490903,RPM,1297.5,revolutions_per_minute,
1771532464.149104,RELATIVE_THROTTLE_POS,15.294117647058824,percent,
1771532464.1491184,COMMANDED_EQUIV_RATIO,0.998997,ratio,
1771532464.1491318,TIMING_ADVANCE,7.5,degree,
1771532464.1491451,ELM_VOLTAGE,13.6,volt,
1771532464.1491585,O2_S1_WR_CURRENT,0.02734375,milliampere,
1771532464.1491725,CONTROL_MODULE_VOLTAGE,14.746,volt,
1771532464.1491864,COOLANT_TEMP,45,degree_Celsius,
1771532464.1492,LONG_FUEL_TRIM_1,-6.25,percent,
1771532464.149213,THROTTLE_POS,19.607843137254903,percent,
1771532464.1492267,INTAKE_PRESSURE,40,kilopascal,
1771532464.1492405,CATALYST_TEMP_B1S2,47.30000000000001,degree_Celsius,
1771532464.1492705,THROTTLE_ACTUATOR,45.490196078431374,percent,
1771532464.1492853,DISTANCE_SINCE_DTC_CLEAR,49.0,kilometer,
1771532464.149299,INTAKE_TEMP,12,degree_Celsius,
1771532464.1493123,CATALYST_TEMP_B1S1,325.1,degree_Celsius,
1771532464.1493258,SHORT_FUEL_TRIM_1,-5.46875,percent,
