Timestamp_Unix,PID,Value,Unit,DTC_Codes
1771532852.2653427,COOLANT_TEMP,32,degree_Celsius,
1771532852.265468,CATALYST_TEMP_B1S1,515.5,degree_Celsius,
1771532852.2655022,CATALYST_TEMP_B1S2,577.1,degree_Celsius,
1771532852.265528,TIME_SINCE_DTC_CLEARED,91.0,minute,
1771532852.2655656,ABSOLUTE_LOAD,0.0,percent,
1771532852.26559,ELM_VOLTAGE,13.7,volt,
1771532852.265612,THROTTLE_POS_B,49.01960784313726,percent,
1771532852.265635,THROTTLE_ACTUATOR,16.862745098039216,percent,
1771532852.265659,LONG_FUEL_TRIM_1,-1.5625,percent,
1771532852.2656815,INTAKE_PRESSURE,37,kilopascal,
1771532852.2683945,O2_B1S2,0.35,volt,
1771532852.2684329,ENGINE_LOAD,40.3921568627451,percent,
1771532852.2684493,INTAKE_TEMP,20,degree_Celsius,
1771532852.2684624,CONTROL_MODULE_VOLTAGE,14.746,volt,
1771532852.268475,RELATIVE_THROTTLE_POS,6.2745098039215685,percent,
1771532852.268489,COMMANDED_EQUIV_RATIO,1.0054325,ratio,
1771532852.2685015,MAF,7.73,gps,
1771532852.2685132,SHORT_FUEL_TRIM_1,3.125,percent,
1771532852.2685254,O2_S1_WR_CURRENT,1.42578125,milliampere,
1771532852.2685378,THROTTLE_POS,16.862745098039216,percent,
1771532852.2685685,SPEED,68.0,kilometer_per_hour,
1771532852.2685802,DISTANCE_SINCE_DTC_CLEAR,50.0,kilometer,
1771532852.2685914,O2_S1_WR_VOLTAGE,3.3488059815365836,volt,
1771532852.268603,RUN_TIME,150.0,second,
1771532852.268614,RPM,1297.5,revolutions_per_minute,
1771532852.2686255,TIMING_ADVANCE,13.0,degree,
1771532853.2714403,COOLANT_TEMP,46,degree_Celsius,
1771532853.2714758,CATALYST_TEMP_B1S1,857.5,degree_Celsius,
1771532853.271486,CATALYST_TEMP_B1S2,401.40000000000003,degree_Celsius,
1771532853.2714949,TIME_SINCE_DTC_CLEARED,93.0,minute,
1771532853.2715025,ABSOLUTE_LOAD,32.94117647058823,percent,
1771532853.2715106,ELM_VOLTAGE,13.5,volt,
1771532853.271518,THROTTLE_POS_B,67.84313725490196,percent,
1771532853.2715256,THROTTLE_ACTUATOR,44.31372549019608,percent,
1771532853.2715333,LONG_FUEL_TRIM_1,-0.78125,percent,
1771532853.2715416,INTAKE_PRESSURE,38,kilopascal,
1771532853.271549,O2_B1S2,0.0,volt,
1771532853.2715561,ENGINE_LOAD,0.0,percent,
1771532853.2715633,INTAKE_TEMP,15,degree_Celsius,
1771532853.2715702,CONTROL_MODULE_VOLTAGE,14.667,volt,
1771532853.271578,RELATIVE_THROTTLE_POS,15.294117647058824,percent,
