Timestamp_Unix,PID,Value,Unit,DTC_Codes
1771532803.0865183,COOLANT_TEMP,45,degree_Celsius,
1771532803.0866702,TIMING_ADVANCE,5.0,degree,
1771532803.08671,INTAKE_TEMP,18,degree_Celsius,
1771532803.0867386,COMMANDED_EQUIV_RATIO,0.992592,ratio,
1771532803.0867684,SPEED,0.0,kilometer_per_hour,
1771532803.0867949,O2_B1S2,0.35,volt,
1771532803.0868218,CONTROL_MODULE_VOLTAGE,14.667,volt,
1771532803.0868487,SHORT_FUEL_TRIM_1,-0.78125,percent,
1771532803.0868764,THROTTLE_POS,31.372549019607842,percent,
1771532803.0869243,LONG_FUEL_TRIM_1,-0.78125,percent,
1771532803.0869546,O2_S1_WR_VOLTAGE,3.8810406652933547,volt,
1771532803.0872412,THROTTLE_POS_B,67.84313725490196,percent,
1771532803.0872698,CATALYST_TEMP_B1S1,857.5,degree_Celsius,
1771532803.0872877,ENGINE_LOAD,40.3921568627451,percent,
1771532803.0873044,O2_S1_WR_CURRENT,-0.06640625,milliampere,
1771532803.0873225,RUN_TIME,14.0,second,
1771532803.0873377,THROTTLE_ACTUATOR,16.470588235294116,percent,
1771532803.0873556,TIME_SINCE_DTC_CLEARED,92.0,minute,
1771532803.0873716,ELM_VOLTAGE,13.1,volt,
1771532803.0873866,ABSOLUTE_LOAD,40.0,percent,
1771532803.0874028,INTAKE_PRESSURE,82,kilopascal,
1771532803.0874188,MAF,6.46,gps,
1771532803.0874338,CATALYST_TEMP_B1S2,513.6,degree_Celsius,
1771532803.08745,RELATIVE_THROTTLE_POS,1.1764705882352942,percent,
1771532803.0874681,DISTANCE_SINCE_DTC_CLEAR,51.0,kilometer,
1771532803.0874836,RPM,1297.5,revolutions_per_minute,
1771532804.092556,COOLANT_TEMP,32,degree_Celsius,
1771532804.0926223,TIMING_ADVANCE,10.5,degree,
1771532804.0926383,INTAKE_TEMP,13,degree_Celsius,
1771532804.0926507,COMMANDED_EQUIV_RATIO,0.998997,ratio,
1771532804.0926647,SPEED,92.0,kilometer_per_hour,
1771532804.0926766,O2_B1S2,0.0,volt,
1771532804.0926874,CONTROL_MODULE_VOLTAGE,14.707,volt,
1771532804.092699,SHORT_FUEL_TRIM_1,0.0,percent,
1771532804.0927105,THROTTLE_POS,44.705882352941174,percent,
1771532804.0927224,LONG_FUEL_TRIM_1,-5.46875,percent,
1771532804.092734,O2_S1_WR_VOLTAGE,3.2999771114671548,volt,
1771532804.0927465,THROTTLE_POS_B,82.74509803921569,percent,
1771532804.0927584,CATALYST_TEMP_B1S1,835.8000000000001,degree_Celsius,
1771532804.092772,ENGINE_LOAD,0.0,percent,
1771532804.0927827,O2_S1_WR_CURRENT,0.0,milliampere,
1771532804.092794,RUN_TIME,83.0,second,
1771532804.0928047,THROTTLE_ACTUATOR,19.607843137254903,percent,
1771532804.0928166,TIME_SINCE_DTC_CLEARED,92.0,minute,
1771532804.0928278,ELM_VOLTAGE,13.2,volt,
1771532804.0928392,ABSOLUTE_LOAD,10.588235294117647,percent,
1771532804.0928516,INTAKE_PRESSURE,99,kilopascal,
1771532804.0928624,MAF,0.18,gps,
1771532804.0928736,CATALYST_TEMP_B1S2,389.20000000000005,degree_Celsius,
1771532804.092886,RELATIVE_THROTTLE_POS,9.803921568627452,percent,
1771532804.0928981,DISTANCE_SINCE_DTC_CLEAR,51.0,kilometer,
1771532804.0929093,RPM,1354.5,revolutions_per_minute,
1771532805.0957844,COOLANT_TEMP,46,degree_Celsius,
1771532805.0958395,TIMING_ADVANCE,20.0,degree,
1771532805.0958545,INTAKE_TEMP,20,degree_Celsius,
1771532805.0958674,COMMANDED_EQUIV_RATIO,0.9840215,ratio,
1771532805.0958817,SPEED,114.0,kilometer_per_hour,
1771532805.095894,O2_B1S2,0.015,volt,
1771532805.0959067,CONTROL_MODULE_VOLTAGE,14.746,volt,
1771532805.0959196,SHORT_FUEL_TRIM_1,3.125,percent,
1771532805.0959315,THROTTLE_POS,21.176470588235293,percent,
1771532805.0959446,LONG_FUEL_TRIM_1,-3.125,percent,
1771532805.0959566,O2_S1_WR_VOLTAGE,4.99995422293431,volt,
1771532805.0959702,THROTTLE_POS_B,52.15686274509804,percent,
1771532805.0959828,CATALYST_TEMP_B1S1,787.0,degree_Celsius,
1771532805.0959947,ENGINE_LOAD,45.09803921568628,percent,
1771532805.0960069,O2_S1_WR_CURRENT,1.5859375,milliampere,
1771532805.0960193,RUN_TIME,50.0,second,
1771532805.0960302,THROTTLE_ACTUATOR,16.862745098039216,percent,
1771532805.0960433,TIME_SINCE_DTC_CLEARED,91.0,minute,
1771532805.096055,ELM_VOLTAGE,13.4,volt,
1771532805.0960662,ABSOLUTE_LOAD,0.0,percent,
1771532805.096078,INTAKE_PRESSURE,37,kilopascal,
1771532805.0960896,MAF,3.15,gps,
1771532805.0961006,CATALYST_TEMP_B1S2,24.299999999999997,degree_Celsius,
1771532805.09619,RELATIVE_THROTTLE_POS,6.2745098039215685,percent,
1771532805.0962088,DISTANCE_SINCE_DTC_CLEAR,49.0,kilometer,
1771532805.0962212,RPM,2272.5,revolutions_per_minute,
1771532806.1001525,COOLANT_TEMP,26,degree_Celsius,
