Timestamp_Unix,PID,Value,Unit,DTC_Codes
1771531931.5279386,SHORT_FUEL_TRIM_1,6.25,percent,
1771531931.5281057,DISTANCE_SINCE_DTC_CLEAR,50.0,kilometer,
1771531931.5281708,O2_S1_WR_CURRENT,0.27734375,milliampere,
1771531931.5282142,CATALYST_TEMP_B1S1,857.5,degree_Celsius,
1771531931.528337,COMMANDED_EQUIV_RATIO,0.9872545,ratio,
1771531931.5283825,LONG_FUEL_TRIM_1,-6.25,percent,
1771531931.5284219,RUN_TIME,0.0,second,
1771531931.5284705,INTAKE_PRESSURE,99,kilopascal,
1771531931.5285082,TIME_SINCE_DTC_CLEARED,91.0,minute,
1771531931.5285459,CONTROL_MODULE_VOLTAGE,14.687000000000001,volt,
1771531931.5289989,SPEED,114.0,kilometer_per_hour,
1771531931.5290418,RPM,0.0,revolutions_per_minute,
1771531931.529067,TIMING_ADVANCE,17.0,degree,
1771531931.5290928,O2_B1S2,0.0,volt,
1771531931.5291188,MAF,3.2600000000000002,gps,
1771531931.5291445,ABSOLUTE_LOAD,16.07843137254902,percent,
1771531931.5291722,THROTTLE_ACTUATOR,23.92156862745098,percent,
1771531931.5291986,CATALYST_TEMP_B1S2,401.40000000000003,degree_Celsius,
1771531931.529225,INTAKE_TEMP,14,degree_Celsius,
1771531931.5292509,THROTTLE_POS_B,52.15686274509804,percent,
1771531931.529276,COOLANT_TEMP,29,degree_Celsius,
1771531931.5293005,ENGINE_LOAD,100.0,percent,
1771531931.529325,RELATIVE_THROTTLE_POS,6.2745098039215685,percent,
1771531931.5293522,THROTTLE_POS,16.470588235294116,percent,
1771531931.5296516,ELM_VOLTAGE,13.7,volt,
1771531931.529707,O2_S1_WR_VOLTAGE,3.1827878233005262,volt,
1771531932.538938,SHORT_FUEL_TRIM_1,8.59375,percent,
1771531932.5390036,DISTANCE_SINCE_DTC_CLEAR,51.0,kilometer,
1771531932.5390308,CATALYST_TEMP_B1S1,835.8000000000001,degree_Celsius,
1771531932.539055,COMMANDED_EQUIV_RATIO,0.992592,ratio,
1771531932.5390797,LONG_FUEL_TRIM_1,-1.5625,percent,
1771531932.5390995,RUN_TIME,139.0,second,
1771531932.5391197,INTAKE_PRESSURE,82,kilopascal,
1771531932.5391397,TIME_SINCE_DTC_CLEARED,93.0,minute,
1771531932.5391593,CONTROL_MODULE_VOLTAGE,14.648,volt,
1771531932.539179,SPEED,32.0,kilometer_per_hour,
1771531932.539291,RPM,3442.75,revolutions_per_minute,
1771531932.5393116,TIMING_ADVANCE,12.5,degree,
1771531932.539332,O2_B1S2,0.015,volt,
1771531932.539351,MAF,44.43,gps,
1771531932.53937,ABSOLUTE_LOAD,40.0,percent,
1771531932.5393898,THROTTLE_ACTUATOR,18.431372549019606,percent,
1771531932.5394146,CATALYST_TEMP_B1S2,785.5,degree_Celsius,
1771531932.5394335,INTAKE_TEMP,18,degree_Celsius,
1771531932.5394537,THROTTLE_POS_B,48.23529411764706,percent,
1771531932.5394742,COOLANT_TEMP,44,degree_Celsius,
1771531932.5394917,ENGINE_LOAD,0.0,percent,
1771531932.5395098,RELATIVE_THROTTLE_POS,1.1764705882352942,percent,
1771531932.5395288,THROTTLE_POS,43.92156862745098,percent,
1771531932.5395472,ELM_VOLTAGE,13.4,volt,
1771531933.5429018,SHORT_FUEL_TRIM_1,-2.34375,percent,
1771531933.5429847,DISTANCE_SINCE_DTC_CLEAR,49.0,kilometer,
1771531933.5430124,O2_S1_WR_CURRENT,0.078125,milliampere,
1771531933.5430346,CATALYST_TEMP_B1S1,787.0,degree_Celsius,
1771531933.5430572,COMMANDED_EQUIV_RATIO,0.998997,ratio,
1771531933.5430791,LONG_FUEL_TRIM_1,-0.78125,percent,
1771531933.5431004,RUN_TIME,72.0,second,
1771531933.5431244,INTAKE_PRESSURE,96,kilopascal,
1771531933.543146,TIME_SINCE_DTC_CLEARED,92.0,minute,
1771531933.5431662,CONTROL_MODULE_VOLTAGE,14.785,volt,
1771531933.5431867,SPEED,14.0,kilometer_per_hour,
1771531933.5432074,RPM,1185.75,revolutions_per_minute,
1771531933.5432274,TIMING_ADVANCE,19.0,degree,
1771531933.5432484,O2_B1S2,0.21,volt,
1771531933.5432692,MAF,6.46,gps,
